big_demand,prob_demand
109,0.038484704782406676
110,0.038947020371428338
111,0.039053839560100743
112,0.038805162971163071
113,0.038210499917022217
114,0.037288324697207151
115,0.036065160560913585
116,0.034574352428282482
117,0.032854605031327311
118,0.030948372779803137
119,0.028900191031138805
120,0.026755035727807363
121,0.024543176749273508
122,0.022314598765692063
123,0.020105290991375334
124,0.017946909558675575
125,0.015866497282124869
126,0.013886499074947942
127,0.012024982926661307
128,0.010295959286890649
129,0.0087096997930626412
130,0.007272987624760226
131,0.0059892772863720748
132,0.0048587878774455587
133,0.0038785875900136497
134,0.0030427394276015024
135,0.0023425671720782213
136,0.0017670716534351227
137,0.0013034902854827204
138,0.0009379585823140979
139,0.00065620962462464318
140,0.00044424044824825252
141,0.00028888253339879303
142,0.00017823274636433366
143,0.00010192521042367897
144,5.12478100072145E-05
145,1.91250802679711E-05
