PolicyID,StoreID,ProductID,SupplierID,Quantity,OrderTimestamp,ETA,ConfidenceInterval,Fulfilled
s_Q_perishable,3,6_1,2,0,2017-01-12 00:00:00,2017-01-13 00:00:00,0,False
s_Q_perishable,3,6_1,2,0,2017-01-06 00:00:00,2017-01-07 00:00:00,0,False
s_Q_perishable,3,1_1,1,81,2017-01-10 00:00:00,2017-01-13 00:00:00,0,False
s_Q_perishable,3,9_1,3,0,2017-01-06 00:00:00,2017-01-09 00:00:00,1,False
s_Q_perishable,3,9_1,3,19,2017-01-14 00:00:00,2017-01-17 00:00:00,1,False
s_Q_perishable,3,4_1,1,0,2017-01-02 00:00:00,2017-01-03 00:00:00,0,False
s_Q_perishable,3,4_1,1,0,2017-01-08 00:00:00,2017-01-09 00:00:00,0,False
s_Q_perishable,3,4_1,1,0,2017-01-06 00:00:00,2017-01-07 00:00:00,0,False
s_Q_perishable,3,5_1,2,87,2017-01-10 00:00:00,2017-01-13 00:00:00,1,False
s_Q_perishable,3,1_1,1,0,2017-01-06 00:00:00,2017-01-09 00:00:00,0,False
s_Q_perishable,3,10_1,3,0,2017-01-06 00:00:00,2017-01-07 00:00:00,1,False
s_Q_perishable,3,3_1,1,0,2017-01-06 00:00:00,2017-01-09 00:00:00,1,False
s_Q_perishable,3,3_1,1,850,2017-01-14 00:00:00,2017-01-17 00:00:00,1,False
s_Q_perishable,3,7_1,2,0,2017-01-12 00:00:00,2017-01-13 00:00:00,1,False
s_Q_perishable,3,3_1,1,0,2017-01-02 00:00:00,2017-01-05 00:00:00,1,False
s_Q_perishable,3,2_1,1,75,2017-01-10 00:00:00,2017-01-13 00:00:00,0,False
s_Q_perishable,3,9_1,3,0,2017-01-02 00:00:00,2017-01-05 00:00:00,1,False
s_Q_perishable,3,10_1,3,0,2017-01-02 00:00:00,2017-01-03 00:00:00,1,False
s_Q_perishable,3,1_1,1,0,2017-01-02 00:00:00,2017-01-05 00:00:00,0,False
s_Q_perishable,3,4_1,1,0,2017-01-10 00:00:00,2017-01-11 00:00:00,0,False
s_Q_perishable,3,5_1,2,0,2017-01-06 00:00:00,2017-01-09 00:00:00,1,False
s_Q_perishable,3,8_1,2,0,2017-01-05 00:00:00,2017-01-07 00:00:00,0,False
s_Q_perishable,3,10_1,3,0,2017-01-10 00:00:00,2017-01-11 00:00:00,1,False
s_Q_perishable,3,10_1,3,0,2017-01-08 00:00:00,2017-01-09 00:00:00,1,False
s_Q_perishable,3,8_1,2,0,2017-01-08 00:00:00,2017-01-10 00:00:00,0,False
s_Q_perishable,3,3_1,1,623,2017-01-10 00:00:00,2017-01-13 00:00:00,1,False
s_Q_perishable,3,10_1,3,86,2017-01-14 00:00:00,2017-01-15 00:00:00,1,False
s_Q_perishable,3,4_1,1,80,2017-01-14 00:00:00,2017-01-15 00:00:00,0,False
s_Q_perishable,3,10_1,3,0,2017-01-12 00:00:00,2017-01-13 00:00:00,1,False
s_Q_perishable,3,1_1,1,39,2017-01-14 00:00:00,2017-01-17 00:00:00,0,False
s_Q_perishable,3,6_1,2,0,2017-01-10 00:00:00,2017-01-11 00:00:00,0,False
s_Q_perishable,3,6_1,2,0,2017-01-08 00:00:00,2017-01-09 00:00:00,0,False
s_Q_perishable,3,6_1,2,0,2017-01-02 00:00:00,2017-01-03 00:00:00,0,False
s_Q_perishable,3,5_1,2,58,2017-01-14 00:00:00,2017-01-17 00:00:00,1,False
s_Q_perishable,3,6_1,2,0,2017-01-04 00:00:00,2017-01-05 00:00:00,0,False
s_Q_perishable,3,7_1,2,0,2017-01-08 00:00:00,2017-01-09 00:00:00,1,False
s_Q_perishable,3,2_1,1,0,2017-01-06 00:00:00,2017-01-09 00:00:00,0,False
s_Q_perishable,3,2_1,1,0,2017-01-02 00:00:00,2017-01-05 00:00:00,0,False
s_Q_perishable,3,8_1,2,0,2017-01-02 00:00:00,2017-01-04 00:00:00,0,False
s_Q_perishable,3,6_1,2,1383,2017-01-14 00:00:00,2017-01-15 00:00:00,0,False
s_Q_perishable,3,7_1,2,0,2017-01-02 00:00:00,2017-01-03 00:00:00,1,False
s_Q_perishable,3,4_1,1,0,2017-01-04 00:00:00,2017-01-05 00:00:00,0,False
s_Q_perishable,3,5_1,2,0,2017-01-02 00:00:00,2017-01-05 00:00:00,1,False
s_Q_perishable,3,7_1,2,0,2017-01-06 00:00:00,2017-01-07 00:00:00,1,False
s_Q_perishable,3,10_1,3,0,2017-01-04 00:00:00,2017-01-05 00:00:00,1,False
s_Q_perishable,3,7_1,2,69,2017-01-14 00:00:00,2017-01-15 00:00:00,1,False
s_Q_perishable,3,7_1,2,0,2017-01-10 00:00:00,2017-01-11 00:00:00,1,False
s_Q_perishable,3,2_1,1,224,2017-01-14 00:00:00,2017-01-17 00:00:00,0,False
s_Q_perishable,3,4_1,1,0,2017-01-12 00:00:00,2017-01-13 00:00:00,0,False
s_Q_perishable,3,8_1,2,0,2017-01-11 00:00:00,2017-01-13 00:00:00,0,False
s_Q_perishable,3,7_1,2,0,2017-01-04 00:00:00,2017-01-05 00:00:00,1,False
s_Q_perishable,3,8_1,2,118,2017-01-14 00:00:00,2017-01-16 00:00:00,0,False
s_Q_perishable,3,9_1,3,63,2017-01-10 00:00:00,2017-01-13 00:00:00,1,False
