StoreID,ProductID,DateTime,Demand,PredictedDemandDistribution,PredictedDemandVariance,PredictedDemandProbability
5,14_1,2017-01-08,40.447346772489894,,-1,1
5,14_1,2017-01-09,77.93151761655695,,-1,1
5,14_1,2017-01-10,74.1280512327533,,-1,1
5,14_1,2017-01-11,36.907323685546295,,-1,1
5,14_1,2017-01-12,42.65322113458215,,-1,1
5,14_1,2017-01-13,56.42350248957435,,-1,1
5,14_1,2017-01-14,75.41817088832646,,-1,1
5,14_1,2017-01-15,39.56125710361875,,-1,1
5,14_1,2017-01-16,76.00043500051584,,-1,1
5,14_1,2017-01-17,75.70861254021568,,-1,1
5,14_1,2017-01-18,70.81809538665944,,-1,1
5,14_1,2017-01-19,61.463249732609604,,-1,1
5,14_1,2017-01-20,44.92050036030574,,-1,1
5,14_1,2017-01-21,59.47163083233818,,-1,1
5,14_1,2017-01-22,82.46293514085174,,-1,1
5,14_1,2017-01-23,38.04692594597089,,-1,1
5,14_1,2017-01-24,51.59428292385437,,-1,1
5,14_1,2017-01-25,65.93921682463304,,-1,1
5,14_1,2017-01-26,65.93921682463304,,-1,1
5,14_1,2017-01-27,72.03763070787744,,-1,1
5,14_1,2017-01-28,93.68336347213408,,-1,1
5,14_1,2017-01-29,70.55053405503764,,-1,1
5,14_1,2017-01-30,64.60402966526847,,-1,1
5,14_1,2017-01-31,64.60402966526847,,-1,1
5,14_1,2017-02-01,38.370472865265725,,-1,1
5,14_1,2017-02-02,71.22177346596025,,-1,1
5,14_1,2017-02-03,49.62546811706184,,-1,1
5,14_1,2017-02-04,57.55712696456157,,-1,1
5,14_1,2017-02-05,47.163419493026716,,-1,1
5,14_1,2017-02-06,41.35611126222044,,-1,1
5,14_1,2017-02-07,82.46293514085174,,-1,1
5,14_1,2017-02-08,77.63051471719005,,-1,1
5,14_1,2017-02-09,50.509203990939724,,-1,1
5,14_1,2017-02-10,71.3569594489575,,-1,1
5,14_1,2017-02-11,63.06813599751091,,-1,1
5,14_1,2017-02-12,44.842715957707775,,-1,1
5,14_1,2017-02-13,63.61974200085349,,-1,1
5,14_1,2017-02-14,54.23268496259754,,-1,1
5,14_1,2017-02-15,49.72074958856903,,-1,1
5,14_1,2017-02-16,62.70633919098866,,-1,1
5,14_1,2017-02-17,73.51515482384491,,-1,1
5,14_1,2017-02-18,50.706486813523945,,-1,1
