big_demand,prob_demand
185,0.030162690700790126
186,0.029685139830196824
187,0.029055268219673049
188,0.028283591975108258
189,0.027374156877378816
190,0.026348099716959148
191,0.025220330597458089
192,0.024006655040891486
193,0.022723422948881498
194,0.021387188453474332
195,0.020014389734307792
196,0.018621055910080397
197,0.017222546006156598
198,0.015833322954331559
199,0.014466763774277448
200,0.013135005655990588
201,0.011848826685607034
202,0.010617559440962274
203,0.0094490355683321241
204,0.0083495596229135761
205,0.0073239107641522158
206,0.006375371187324114
207,0.005505780309159305
208,0.0047156136147388818
209,0.0040040846794504713
210,0.0033692682284450059
211,0.0028082412659319717
212,0.0023172384153011018
213,0.0018918167929838964
214,0.0015270251227335126
215,0.0012175714847343681
216,0.00095798414655764172
217,0.00074276035298674712
218,0.00056649872417511909
219,0.00042401195190420912
220,0.00031041769061947253
221,0.00022120680074656936
222,0.000152289307463516
223,0.00010001949581225019
224,6.1202404967045738E-05
225,3.3084572085930878E-05
226,1.3332200079587704E-05
