big_demand,prob_demand
1784,0.0082741624170040527
1785,0.0083862955497742558
1786,0.0084949814879138347
1787,0.0086000621892238123
1788,0.0087013838849013883
1789,0.0087987974533212526
1790,0.0088921587856582215
1791,0.00898132914205998
1792,0.00906617549709749
1793,0.0091465708732440688
1794,0.0092223946611653517
1795,0.0092935329256387585
1796,0.0093598786959637956
1797,0.0094213322397735562
1798,0.0094769831871133279
1799,0.0095275686466682122
1800,0.0095730089173031562
1801,0.009613232483540974
1802,0.0096481761986345269
1803,0.0096777854455865654
1804,0.0097020142755526919
1805,0.0097208255231461625
1806,0.00973419089824933
1807,0.0097420910540238648
1808,0.0097445156309007644
1809,0.00974146327642112
1810,0.009732941640888209
1811,0.0097189673488822254
1812,0.0096995659467782672
1813,0.0096747718264970015
1814,0.0096446281258051811
1815,0.00960918660556864
1816,0.0095685075044443062
1817,0.009522659371578689
1818,0.009471718877958616
1819,0.0094157706071348966
1820,0.0093549068261110074
1821,0.009288397107337594
1822,0.009217160216602403
1823,0.00914130647398976
1824,0.0090609527571681951
1825,0.0089762221972191827
1826,0.0088872438614776977
1827,0.0087941524245800512
1828,0.0086970878289397216
1829,0.0085961949358908073
1830,0.008491623168751317
1831,0.00838352614906475
1832,0.0082720613272784724
1833,0.0081573896091112277
1834,0.0080396749788503169
1835,0.0079190841208010253
1836,0.0077957860400879823
1837,0.0076699516839797838
1838,0.0075417535648750087
1839,0.0074113653860503736
1840,0.0072789616712300512
1841,0.0071447173989897285
1842,0.0070088076429608561
1843,0.006871407218748727
1844,0.0067326903384246533
1845,0.0065928302733968564
1846,0.0064519990264077431
1847,0.0063103670133473179
1848,0.0061681027555137826
1849,0.0060253725828942721
1850,0.005882340348979896
1851,0.0057391671575723318
1852,0.00559601110198214
1853,0.0054530270169645366
1854,0.0053103662436847247
1855,0.0051681764079537212
1856,0.0050266012119264949
1857,0.0048857802394075694
1858,0.0047458487748651655
1859,0.0046069376362135421
1860,0.0044691730213842536
1861,0.0043326763686714845
1862,0.0041975642308031075
1863,0.0040639481626585927
1864,0.0039319346225273211
1865,0.0038016248867748233
1866,0.0036731149777621572
1867,0.0035464956048420972
1868,0.0034218521182371123
1869,0.0032992644755870234
1870,0.0031788072209384811
1871,0.0030605494759340483
1872,0.0029445549429457452
1873,0.0028308819198851294
1874,0.0027195833264106193
1875,0.0026107067412410984
1876,0.00250429445027409
1877,0.0024003835051956135
1878,0.0022990057922574292
1879,0.0022001881108865574
1880,0.0021039522617795708
1881,0.0020103151441225463
1882,0.0019192888615647346
1883,0.0018308808365610342
1884,0.0017450939326848684
1885,0.0016619265844990431
1886,0.0015813729345585238
1887,0.0015034229771039888
1888,0.0014280627079910925
1889,0.0013552742803862321
1890,0.0012850361657449688
1891,0.0012173233195763643
1892,0.0011521073514833746
1893,0.0010893566989575378
1894,0.0010290368043954054
1895,0.00097111029479491143
1896,0.00091553716358160758
1897,0.00086227495400907953
1898,0.00081127894357323909
1899,0.00076250232887884828
1900,0.00071589641039604749
1901,0.00067141077654846756
1902,0.000628993486579182
1903,0.00058859125164881091
1904,0.0005501496136309966
1905,0.0005136131210836919
1906,0.00047892550189088383
1907,0.00044602983208793915
1908,0.00041486870040540982
1909,0.00038538436808974289
1910,0.00035751892358555019
1911,0.00033121443169254714
1912,0.0003064130768406132
1913,0.00028305730015842158
1914,0.00026108993004509546
1915,0.00024045430598902047
1916,0.00022109439541429803
1917,0.00020295490337184815
1918,0.00018598137492972159
1919,0.00017012029015449733
1920,0.00015531915161307261
1921,0.00014152656436129573
1922,0.00012869230842213735
1923,0.0001167674037915529
1924,0.00010570416804474692
1925,9.5456266648143617E-05
1926,8.59787561138848E-05
1927,7.7228120163098547E-05
1928,6.9162299091698727E-05
1929,6.1740712557869468E-05
1930,5.492427603341446E-05
1931,4.8675411182004431E-05
1932,4.2958050445593677E-05
1933,3.7737636136051267E-05
1934,3.298111434247043E-05
1935,2.8656923975224109E-05
1936,2.4734981276238526E-05
1937,2.1186660130750647E-05
1938,1.7984768519213331E-05
1939,1.5103521449198141E-05
1940,1.2518510706046845E-05
1941,1.0206671757908233E-05
1942,8.14624814566983E-06
1943,6.3167536813865E-06
1944,4.6989327702583867E-06
1945,3.2747191611092187E-06
1946,2.0271934189244762E-06
1947,9.4053940042096365E-07
