big_demand,prob_lead_demand
103,0.039304747294891189
104,0.038187472502895718
105,0.036748605334208588
106,0.035030331093141465
107,0.033080320625486909
108,0.030949611406958445
109,0.02869048886596506
110,0.026354483485888137
111,0.023990581566551934
112,0.021643724595982582
113,0.019353646374537584
114,0.017154070709254926
115,0.015072267779366693
116,0.013128945874834637
117,0.011338438322037696
118,0.0097091336743030873
119,0.0082440907699498061
120,0.006941778701605208
121,0.0057968844026965944
122,0.004801136518967606
123,0.0039441024691694694
124,0.0032139250910163488
102,0.040065723290236104
