InventoryPolicyName,StoreID,ProductID,SupplierID,Quantity,OrderTimestamp,ETA,ConfidenceInterval,Fulfilled
s_Q,2,14_1,4,63,2017-01-15T00:00:00.0000000,2017-01-18T00:00:00.0000000,0,False
s_Q,2,11_1,3,167,2017-01-14T00:00:00.0000000,2017-01-16T00:00:00.0000000,0,False
s_Q,2,12_1,3,1877,2017-01-14T00:00:00.0000000,2017-01-16T00:00:00.0000000,0,False
s_Q,2,13_1,4,46,2017-01-14T00:00:00.0000000,2017-01-17T00:00:00.0000000,0,False
s_Q,2,15_1,4,184,2017-01-14T00:00:00.0000000,2017-01-15T00:00:00.0000000,0,False
s_Q,2,16_1,4,543,2017-01-14T00:00:00.0000000,2017-01-17T00:00:00.0000000,1,False
s_Q,2,17_1,5,43,2017-01-14T00:00:00.0000000,2017-01-15T00:00:00.0000000,0,False
s_Q,2,18_1,5,444,2017-01-14T00:00:00.0000000,2017-01-17T00:00:00.0000000,1,False
s_Q,2,19_1,5,629,2017-01-14T00:00:00.0000000,2017-01-17T00:00:00.0000000,0,False
s_Q,2,20_1,5,79,2017-01-14T00:00:00.0000000,2017-01-16T00:00:00.0000000,0,False
s_Q,2,11_1,3,92,2017-01-11T00:00:00.0000000,2017-01-13T00:00:00.0000000,0,True
s_Q,2,12_1,3,1275,2017-01-11T00:00:00.0000000,2017-01-13T00:00:00.0000000,0,True
s_Q,2,14_1,4,53,2017-01-11T00:00:00.0000000,2017-01-14T00:00:00.0000000,0,True
s_Q,2,20_1,5,44,2017-01-11T00:00:00.0000000,2017-01-13T00:00:00.0000000,0,True
s_Q,2,13_1,4,168,2017-01-10T00:00:00.0000000,2017-01-13T00:00:00.0000000,0,True
s_Q,2,15_1,4,184,2017-01-10T00:00:00.0000000,2017-01-11T00:00:00.0000000,0,True
s_Q,2,16_1,4,931,2017-01-10T00:00:00.0000000,2017-01-13T00:00:00.0000000,1,True
s_Q,2,17_1,5,38,2017-01-10T00:00:00.0000000,2017-01-11T00:00:00.0000000,0,True
s_Q,2,18_1,5,1677,2017-01-10T00:00:00.0000000,2017-01-13T00:00:00.0000000,1,True
s_Q,2,19_1,5,906,2017-01-10T00:00:00.0000000,2017-01-13T00:00:00.0000000,0,True
s_Q,2,11_1,3,160,2017-01-08T00:00:00.0000000,2017-01-10T00:00:00.0000000,0,True
s_Q,2,12_1,3,1869,2017-01-08T00:00:00.0000000,2017-01-10T00:00:00.0000000,0,True
s_Q,2,15_1,4,181,2017-01-08T00:00:00.0000000,2017-01-09T00:00:00.0000000,0,True
s_Q,2,17_1,5,36,2017-01-08T00:00:00.0000000,2017-01-09T00:00:00.0000000,0,True
s_Q,2,20_1,5,91,2017-01-08T00:00:00.0000000,2017-01-10T00:00:00.0000000,0,True
s_Q,2,14_1,4,65,2017-01-07T00:00:00.0000000,2017-01-10T00:00:00.0000000,0,True
s_Q,2,13_1,4,42,2017-01-06T00:00:00.0000000,2017-01-09T00:00:00.0000000,0,True
s_Q,2,15_1,4,181,2017-01-06T00:00:00.0000000,2017-01-07T00:00:00.0000000,0,True
s_Q,2,16_1,4,491,2017-01-06T00:00:00.0000000,2017-01-09T00:00:00.0000000,1,True
s_Q,2,17_1,5,43,2017-01-06T00:00:00.0000000,2017-01-07T00:00:00.0000000,0,True
s_Q,2,18_1,5,443,2017-01-06T00:00:00.0000000,2017-01-09T00:00:00.0000000,1,True
s_Q,2,19_1,5,488,2017-01-06T00:00:00.0000000,2017-01-09T00:00:00.0000000,0,True
s_Q,2,11_1,3,58,2017-01-05T00:00:00.0000000,2017-01-07T00:00:00.0000000,0,True
s_Q,2,12_1,3,593,2017-01-05T00:00:00.0000000,2017-01-07T00:00:00.0000000,0,True
s_Q,2,20_1,5,32,2017-01-05T00:00:00.0000000,2017-01-07T00:00:00.0000000,0,True
s_Q,2,11_1,3,178,2017-01-02T00:00:00.0000000,2017-01-04T00:00:00.0000000,0,True
s_Q,2,12_1,3,1869,2017-01-02T00:00:00.0000000,2017-01-04T00:00:00.0000000,0,True
s_Q,2,13_1,4,173,2017-01-02T00:00:00.0000000,2017-01-05T00:00:00.0000000,0,True
s_Q,2,14_1,4,97,2017-01-02T00:00:00.0000000,2017-01-05T00:00:00.0000000,0,True
s_Q,2,15_1,4,181,2017-01-02T00:00:00.0000000,2017-01-03T00:00:00.0000000,0,True
s_Q,2,16_1,4,1139,2017-01-02T00:00:00.0000000,2017-01-05T00:00:00.0000000,1,True
s_Q,2,17_1,5,54,2017-01-02T00:00:00.0000000,2017-01-03T00:00:00.0000000,0,True
s_Q,2,18_1,5,1745,2017-01-02T00:00:00.0000000,2017-01-05T00:00:00.0000000,1,True
s_Q,2,19_1,5,1170,2017-01-02T00:00:00.0000000,2017-01-05T00:00:00.0000000,0,True
s_Q,2,20_1,5,101,2017-01-02T00:00:00.0000000,2017-01-04T00:00:00.0000000,0,True
s_Q,2,15_1,4,148,2017-01-04T00:00:00.0000000,2017-01-05T00:00:00.0000000,0,True
s_Q,2,17_1,5,31,2017-01-04T00:00:00.0000000,2017-01-05T00:00:00.0000000,0,True
s_Q,2,15_1,4,184,2017-01-12T00:00:00.0000000,2017-01-13T00:00:00.0000000,0,True
s_Q,2,17_1,5,37,2017-01-12T00:00:00.0000000,2017-01-13T00:00:00.0000000,0,True
