s_Q,prob_lead_lifetime
10414,1.2657169477380186E-28
10415,1.217934934288284E-27
10416,6.5097464339824565E-27
10417,2.5511177837505837E-26
10418,8.1784655970586511E-26
10419,2.2719058941234385E-25
10420,5.6628806951558845E-25
10421,1.2960629258906645E-24
10422,2.7680679644142778E-24
10423,5.582504467657598E-24
10424,1.0726864646294352E-23
10425,1.9775627751601048E-23
10426,3.5172317596368123E-23
10427,6.0621172861677217E-23
10428,1.0162297119518037E-22
10429,1.6619843628989448E-22
10430,2.658534364247754E-22
10431,4.1685319131832976E-22
10432,6.4188833102979018E-22
10433,9.7223434368923187E-22
10434,1.4505282214275395E-21
10435,2.1343125534723798E-21
10436,3.1005285928021512E-21
10437,4.451176702481837E-21
10438,6.3204059393646634E-21
10439,8.8833453434053721E-21
10440,1.2367048889147761E-20
10441,1.7063995287723689E-20
10442,2.3348664332525334E-20
10443,3.1697804871726881E-20
10444,4.2715117581235844E-20
10445,5.7161200543255223E-20
10446,7.5989749499587745E-20
10447,1.003911701137456E-19
10448,1.3184494951765688E-19
10449,1.721823520528291E-19
10450,2.2366125303302064E-19
10451,2.8905520856068642E-19
10452,3.7175918338406532E-19
10453,4.759147274497909E-19
10454,6.0655781070441131E-19
10455,7.6979300095197271E-19
10456,9.7299820797614085E-19
10457,1.2250648262083785E-18
10458,1.5366787962952269E-18
10459,1.9206488821929865E-18
10460,2.3922893350635915E-18
10461,2.9698650994785229E-18
10462,3.6751088236232887E-18
10463,4.533820176950529E-18
10464,5.5765593710385235E-18
10465,6.8394483387447109E-18
10466,8.3650947711916244E-18
10467,1.0203656161539156E-17
10468,1.2414063180650308E-17
10469,1.5065424136497953E-17
10470,1.8238634972594754E-17
10471,2.2028222269415566E-17
10472,2.6544450057933324E-17
10473,3.1915724970093422E-17
10474,3.8291338374508959E-17
10475,4.5844588717435239E-17
10476,5.47763323533831E-17
10477,6.5319016754689035E-17
10478,7.7741256187356657E-17
10479,9.2353016788469525E-17
10480,1.0951148554033361E-16
10481,1.2962770597545049E-16
10482,1.5317407263735919E-16
10483,1.8069278644441028E-16
10484,2.1280538424234781E-16
10485,2.5022346807999062E-16
10486,2.9376077320079871E-16
10487,3.4434672852033795E-16
10488,4.0304167957309148E-16
10489,4.7105396168863862E-16
10490,5.4975903063391084E-16
10491,6.4072087928294893E-16
10492,7.4571599220770371E-16
10493,8.667601155948864E-16
10494,1.0061381477696868E-15
10495,1.1664374860467093E-15
10496,1.3505851988460762E-15
10497,1.5618894282389547E-15
10498,1.804085467569455E-15
10499,2.0813870018052966E-15
10500,2.3985430450834244E-15
10501,2.7609011608455569E-15
10502,3.1744776053315053E-15
10503,3.6460350953670914E-15
10504,4.1831689667266689E-15
10505,4.7944025602716808E-15
10506,5.4892927499990991E-15
10507,6.2785466105401718E-15
10508,7.1741503120250454E-15
10509,8.1895114281019854E-15
10510,9.3396159488352335E-15
10511,1.0641201404806898E-14
10512,1.2112947632658161E-14
10513,1.377568684621051E-14
10514,1.5652634821939986E-14
10515,1.7769645163715696E-14
10516,2.015548878018886E-14
10517,2.2842160889913933E-14
10518,2.5865218065138098E-14
10519,2.9264148036212582E-14
10520,3.3082775205817188E-14
10521,3.7369705066783385E-14
10522,4.2178810980445024E-14
10523,4.7569767055418782E-14
10524,5.3608631170863396E-14
10525,6.036848251502971E-14
10526,6.7930118360800629E-14
10527,7.6382815176555354E-14
10528,8.5825159574768694E-14
10529,9.6365955034086616E-14
10530,1.081252107951175E-13
10531,1.212352198278573E-13
10532,1.3584173330167464E-13
10533,1.5210523955937039E-13
10534,1.7020235620739035E-13
10535,1.9032734458732449E-13
10536,2.1269375659203628E-13
10537,2.3753622453594224E-13
10538,2.6511240558606547E-13
10539,2.957050931116322E-13
10540,3.2962450821848108E-13
10541,3.6721078570385778E-13
10542,4.0883666970092196E-13
10543,4.5491043538437267E-13
10544,5.0587905428300471E-13
10545,5.6223162199602893E-13
10546,6.2450306844207078E-13
10547,6.9327817218762581E-13
10548,7.6919590191029057E-13
10549,8.5295410965656722E-13
10550,9.45314602259778E-13
10551,1.0471086190964451E-12
10552,1.1592427462853005E-12
10553,1.2827052994782183E-12
10554,1.418573209563285E-12
10555,1.5680194479039965E-12
10556,1.7323210301821753E-12
10557,1.9128676405034669E-12
10558,2.1111709201707289E-12
10559,2.3288744684410084E-12
10560,2.5677646056641364E-12
10561,2.8297819524649195E-12
10562,3.117033882085438E-12
10563,3.4318079066589834E-12
10564,3.7765860620530788E-12
10565,4.1540603600066926E-12
10566,4.56714938060662E-12
10567,5.0190160827127E-12
10568,5.5130869147626105E-12
10569,6.0530723134768093E-12
10570,6.64298868335686E-12
10571,7.2871819555386543E-12
10572,7.9903528305405533E-12
10573,8.7575838157501684E-12
10574,9.5943681751374863E-12
10575,1.0506640915682699E-11
10576,1.1500811942380368E-11
10577,1.258380152144571E-11
10578,1.3763078199520572E-11
10579,1.5046699335276193E-11
10580,1.6443354408853667E-11
10581,1.7962411284095383E-11
10582,1.9613965608517568E-11
10583,2.1408893546479952E-11
10584,2.3358908052045255E-11
10585,2.5476618899610442E-11
10586,2.7775596702557841E-11
10587,3.0270441162942669E-11
10588,3.2976853808628933E-11
10589,3.5911715488331571E-11
10590,3.9093168909754761E-11
10591,4.2540706521448031E-11
10592,4.6275264055178666E-11
10593,5.0319320062556505E-11
10594,5.4697001797384717E-11
10595,5.9434197813775215E-11
10596,6.45586776694952E-11
10597,7.01002191443299E-11
10598,7.6090743404500226E-11
10599,8.2564458566383437E-11
10600,8.9558012136006253E-11
10601,9.71106528250243E-11
10602,1.0526440226923934E-10
10603,1.1406423720214064E-10
10604,1.235582826635665E-10
10605,1.3379801685236985E-10
10606,1.4483848826201426E-10
10607,1.5673854576934453E-10
10608,1.6956108237941777E-10
10609,1.8337329336330924E-10
10610,1.9824694956123362E-10
10611,2.1425868666023506E-10
10612,2.3149031129411275E-10
10613,2.5002912485323722E-10
10614,2.6996826593349935E-10
10615,2.914070723969176E-10
10616,3.1445146406138109E-10
10617,3.39214347083793E-10
10618,3.6581604114942911E-10
10619,3.9438473063080578E-10
10620,4.250569409317365E-10
10621,4.579780412866565E-10
10622,4.9330277534172764E-10
10623,5.311958209027942E-10
10624,5.7183238029598377E-10
10625,6.153988028496796E-10
10626,6.6209324107186777E-10
10627,7.1212634216440134E-10
10628,7.6572197658578995E-10
10629,8.2311800544652321E-10
10630,8.8456708859605958E-10
10631,9.50337535338104E-10
10632,1.0207141997911975E-09
10633,1.0959994229945864E-09
10634,1.1765140239451494E-09
10635,1.2625983418398728E-09
10636,1.3546133318898677E-09
10637,1.4529417171665949E-09
10638,1.5579891990384874E-09
10639,1.670185728856977E-09
10640,1.7899868436547959E-09
10641,1.917875068726616E-09
10642,2.0543613900725434E-09
10643,2.1999867997987873E-09
10644,2.3553239176871585E-09
10645,2.5209786922657071E-09
10646,2.6975921848372155E-09
10647,2.8858424400500454E-09
10648,3.0864464467276044E-09
10649,3.3001621928077371E-09
10650,3.5277908183827252E-09
10651,3.7701788709732024E-09
10652,4.028220667316298E-09
10653,4.3028607660989514E-09
10654,4.5950965562220171E-09
10655,4.9059809653395458E-09
10656,5.2366252935804462E-09
10657,5.5882021775265567E-09
10658,5.9619486896922278E-09
10659,6.359169578925733E-09
10660,6.7812406573322483E-09
10661,7.2296123395017576E-09
10662,7.7058133400132389E-09
10663,8.2114545353785024E-09
10664,8.7482329967857976E-09
10665,9.3179362002037418E-09
10666,9.922446420611547E-09
10667,1.056374531733071E-08
10668,1.1243918717647104E-08
10669,1.1965161606130428E-08
10670,1.2729783327280183E-08
10671,1.3540213009354158E-08
10672,1.4399005217465639E-08
10673,1.5308845844271509E-08
10674,1.627255824681123E-08
10675,1.7293109638301516E-08
10676,1.8373617743937626E-08
10677,1.9517357730004119E-08
10678,2.0727769415853331E-08
10679,2.2008464778568789E-08
10680,2.3363235760393452E-08
10681,2.4796062389270289E-08
10682,2.631112122311163E-08
10683,2.7912794128688535E-08
10684,2.9605677406307974E-08
10685,3.1394591271725757E-08
10686,3.3284589707027217E-08
10687,3.5280970692493143E-08
10688,3.7389286831758167E-08
10689,3.9615356382860204E-08
10690,4.1965274708073937E-08
10691,4.4445426155717421E-08
10692,4.7062496387419676E-08
10693,4.9823485164636736E-08
10694,5.2735719608505944E-08
10695,5.5806867947431761E-08
10696,5.90449537670994E-08
10697,6.2458370777918164E-08
10698,6.6055898115203568E-08
10699,6.9846716187710143E-08
10700,7.3840423090434019E-08
10701,7.8047051597912362E-08
10702,8.2477086754545776E-08
10703,8.7141484078778069E-08
10704,9.2051688398269786E-08
10705,9.7219653333497231E-08
10706,1.0265786144751476E-07
10707,1.0837934507990671E-07
10708,1.1439770788325118E-07
10709,1.2072714708070614E-07
10710,1.2738247646361433E-07
10711,1.3437915014830192E-07
10712,1.4173328711152475E-07
10713,1.4946169652428139E-07
10714,1.575819039039843E-07
10715,1.6611217810523139E-07
10716,1.7507155916967198E-07
10717,1.8447988705571151E-07
10718,1.9435783126902539E-07
10719,2.0472692141508435E-07
10720,2.1560957869511069E-07
10721,2.2702914836708883E-07
10722,2.3900993319365597E-07
10723,2.5157722789887336E-07
10724,2.647573546560676E-07
10725,2.7857769962907651E-07
10726,2.9306675058939044E-07
10727,3.0825413563181033E-07
10728,3.241706630113631E-07
10729,3.4084836212431773E-07
10730,3.5832052565622776E-07
10731,3.766217529200015E-07
10732,3.9578799440705338E-07
10733,4.1585659757460948E-07
10734,4.3686635389227438E-07
10735,4.5885754717093682E-07
10736,4.8187200319708569E-07
10737,5.05953140695534E-07
10738,5.31146023643506E-07
10739,5.5749741495890059E-07
10740,5.8505583158548049E-07
10741,6.1387160099752546E-07
10742,6.43996919146382E-07
10743,6.754859098710718E-07
10744,7.08394685794956E-07
10745,7.4278141073014655E-07
10746,7.787063636110923E-07
10747,8.162320039784453E-07
10748,8.5542303903395367E-07
10749,8.9634649228675981E-07
10750,9.3907177381103079E-07
10751,9.8367075213446076E-07
10752,1.0302178277766111E-06
10753,1.0787900084556128E-06
10754,1.129466985981143E-06
10755,1.1823312148509912E-06
10756,1.2374679925679434E-06
10757,1.2949655416929483E-06
10758,1.35491509364989E-06
10759,1.4174109742964916E-06
10760,1.482550691275064E-06
10761,1.5504350231560088E-06
10762,1.6211681103860325E-06
10763,1.6948575480521552E-06
10764,1.7716144804715624E-06
10765,1.8515536976163726E-06
10766,1.9347937333812569E-06
10767,2.021456965700786E-06
10768,2.1116697185221438E-06
10769,2.2055623656377136E-06
10770,2.3032694363806389E-06
10771,2.4049297231853088E-06
10772,2.5106863910131555E-06
10773,2.6206870886429229E-06
10774,2.73508406182289E-06
10775,2.8540342682811945E-06
10776,2.9776994945886646E-06
10777,3.1062464748669918E-06
10778,3.2398470113334653E-06
10779,3.3786780966715528E-06
10780,3.5229220382150217E-06
10781,3.6727665839313172E-06
10782,3.8284050501880218E-06
10783,3.9900364512843126E-06
10784,4.1578656307272257E-06
10785,4.3321033942306011E-06
10786,4.5129666444122657E-06
10787,4.7006785171630425E-06
10788,4.8954685196587289E-06
10789,5.0975726699841218E-06
10790,5.3072336383356013E-06
10791,5.5247008897665106E-06
10792,5.7502308284372054E-06
10793,5.9840869433288679E-06
10794,6.226539955377929E-06
10795,6.4778679659851874E-06
10796,6.7383566068510717E-06
10797,7.0082991910857253E-06
10798,7.2879968655401032E-06
10799,7.5777587643010156E-06
10800,7.8779021632907609E-06
10801,8.1887526359086238E-06
10802,8.51064420964869E-06
10803,8.8439195236259276E-06
10804,9.188929986938479E-06
10805,9.5460359377921842E-06
10806,9.9156068033094235E-06
10807,1.0298021259941428E-05
10808,1.0693667394400577E-05
10809,1.1102942865024991E-05
10810,1.1526255063485528E-05
10811,1.196402127674129E-05
10812,1.2416668849146933E-05
10813,1.2884635344611339E-05
10814,1.3368368708704462E-05
10815,1.3868327430605046E-05
10816,1.4384980704779287E-05
10817,1.4918808592276655E-05
10818,1.5470302181525854E-05
10819,1.60399637485105E-05
10820,1.6628306916200693E-05
10821,1.7235856813113237E-05
10822,1.7863150230869775E-05
10823,1.85107357806189E-05
10824,1.9179174048184682E-05
10825,1.9869037747800822E-05
10826,2.0580911874286115E-05
10827,2.131539385351382E-05
10828,2.2073093691023862E-05
10829,2.2854634118623589E-05
10830,2.3660650738819994E-05
10831,2.449179216692196E-05
10832,2.5348720170649195E-05
10833,2.6232109807080426E-05
10834,2.714264955677062E-05
10835,2.8081041454863936E-05
10836,2.9048001219025945E-05
10837,3.0044258374015971E-05
10838,3.10705563727172E-05
10839,3.2127652713439429E-05
10840,3.3216319053306969E-05
10841,3.4337341317540549E-05
10842,3.5491519804440677E-05
10843,3.6679669285876753E-05
10844,3.7902619103083534E-05
10845,3.9161213257564338E-05
10846,4.0456310496899608E-05
10847,4.17887843952541E-05
10848,4.3159523428377577E-05
10849,4.4569431042889268E-05
10850,4.6019425719636106E-05
10851,4.7510441030912024E-05
10852,4.90434256913255E-05
10853,5.0619343602098784E-05
10854,5.2239173888584208E-05
10855,5.3903910930778103E-05
10856,5.5614564386615954E-05
10857,5.7372159207827388E-05
10858,5.9177735648132464E-05
10859,6.1032349263558607E-05
10860,6.2937070904656438E-05
10861,6.48929867003949E-05
10862,6.6901198033513919E-05
10863,6.8962821507113768E-05
10864,7.10789889022614E-05
10865,7.3250847126393818E-05
10866,7.5479558152298726E-05
10867,7.7766298947456051E-05
10868,8.0112261393522138E-05
10869,8.2518652195740676E-05
10870,8.4986692782069981E-05
10871,8.7517619191809353E-05
10872,9.0112681953519256E-05
10873,9.2773145952025016E-05
10874,9.5500290284299247E-05
