big_demand,prob_lead_demand
139,0.0050622243676817624
138,0.0060059874636738675
137,0.0070744346448640087
136,0.0082725716448371015
135,0.0096030165318351044
134,0.011065465184429857
133,0.012656181826027938
132,0.01436754538120572
131,0.016187684816825941
130,0.018100237213766381
129,0.020084260697426415
128,0.022114330269549717
127,0.024160837926619452
126,0.026190509318344067
142,0.002904164444545991
141,0.0035199604154561191
140,0.004236284544405681
125,0.028167137918896887
124,0.030052524810660015
123,0.031807598489249078
122,0.033393675537428107
121,0.034773810641513976
120,0.035914174317323008
119,0.036785389879520028
118,0.037363758456305962
