big_demand,prob_demand
194,0.027960128534399727
195,0.028405231992834616
196,0.028710189410900207
197,0.028871119210815727
198,0.028886320007728304
199,0.02875629499483634
200,0.028483720982829634
201,0.028073363815325193
202,0.027531943706837855
203,0.026867955691192959
204,0.026091451758626934
205,0.025213792346803023
206,0.024247375598415714
207,0.02320535318857397
208,0.022101341558097089
209,0.020949137082268875
210,0.019762443090060568
211,0.018554615772161259
212,0.017338434930859018
213,0.016125904292433355
214,0.014928084784714062
215,0.0137549628421162
216,0.012615354494215011
217,0.011516844773829896
218,0.010465760888956626
219,0.0094671766718927349
220,0.0085249450714219646
221,0.0076417549005199864
222,0.006819207695162097
223,0.0060579103709668689
224,0.0053575793695349733
225,0.0047171521437904046
226,0.0041349021166744567
227,0.0036085536324720743
228,0.0031353938767445231
229,0.0027123792414117257
230,0.0023362341305994956
231,0.0020035407173320265
