big_demand,prob_lead_demand
3381,0.006961818506538789
3380,0.00699373547640216
3379,0.0070235832496885692
3378,0.0070513349813805448
3377,0.0070769656124377916
3376,0.0071004519059958884
3375,0.0071217724810760472
3374,0.007140907843739417
3373,0.0071578404156240547
3372,0.0071725545598078045
3371,0.0071850366039450412
3370,0.007195274860630727
3369,0.0072032596449502608
3368,0.0072089832891791975
3367,0.0072124401546022
3386,0.0067722552430270764
3516,0.00014861228622545022
3515,0.00015744392071038267
3514,0.00016669955565863529
3513,0.00017639390181186846
3512,0.00018654189744463082
3511,0.00019715869799977103
3510,0.00020825966493917235
3509,0.00021986035380003208
3508,0.00023197650144821848
3507,0.00024462401252161719
3506,0.00025781894505782024
3505,0.000271577495302032
3504,0.0002859159816926423
3503,0.00030085082802356629
3502,0.0003163985457841572
3501,0.00033257571567926904
3500,0.00034939896833387571
3499,0.000366884964188534
3498,0.00038505037259391667
3497,0.00040391185011462753
3496,0.00042348601805453859
3495,0.00044378943921796543
3494,0.00046483859392310826
3493,0.00048664985528631906
3492,0.00050923946379794458
3491,0.00053262350121266748
3490,0.00055681786377949881
3489,0.000581838234838786
3488,0.000607700056815834
3487,0.0006344185026429792
3486,0.00066200844664415261
3485,0.000690484434918226
3484,0.00071986065525957729
3483,0.00075015090665652285
3482,0.0007813685684103862
3481,0.00081352656892005567
3480,0.00084663735417897436
3479,0.000880712856033457
3478,0.0009157644602532176
3477,0.0009518029744668261
3476,0.00098883859601664329
3475,0.0010268808797894769
3474,0.0010659387060808555
3473,0.0011060202485523576
3472,0.0011471329423428424
3471,0.0011892834523957987
3470,0.001232477642066242
3469,0.0012767205420716533
3468,0.0013220163198524864
3467,0.0013683682494085806
3466,0.0014157786816785215
3465,0.0014642490155296179
3464,0.0015137796694265017
3463,0.0015643700538467281
3462,0.0016160185445118146
3461,0.0016687224565021651
3460,0.0017224780193240896
3459,0.0017772803529968548
3458,0.0018331234452270957
3457,0.0018900001297373044
3456,0.001947902065814217
3455,0.0020068197191419326
3454,0.0020667423439834028
3453,0.0021276579667725347
3452,0.0021895533711776961
3451,0.0022524140846956323
3450,0.002316224366833027
3449,0.0023809671989308257
3448,0.0024466242756843309
3447,0.0025131754554198996
3446,0.0025805992676235109
3445,0.00264887343789963
3444,0.0027179743817346523
3443,0.0027878772048553278
3442,0.0028585557055425693
3441,0.002929982378934532
3440,0.0030021284233496932
3439,0.00307496319453277
3438,0.0031484552836120467
3437,0.0032225720122560546
3436,0.0032972794471143141
3435,0.0033725424163753271
3434,0.0034483245284509206
3433,0.0035245881927920128
3432,0.0036012946428369279
3431,0.0036784039610891954
3430,0.0037558751063178127
3429,0.0038336659428685658
3428,0.0039117332720709505
3427,0.0039900328657209308
3426,0.0040685195016153938
3425,0.0041471470011101548
3424,0.004225868268668739
3423,0.0043046353333651395
3422,0.00438339939229944
3421,0.0044621108558808523
3420,0.004540719394928657
3419,0.0046191739895373044
3418,0.0046974229796478417
3417,0.0047754141172638206
3416,0.0048530946202459185
3415,0.0049304112276154759
3414,0.0050073102562935984
3413,0.005083737659198677
3412,0.0051596390846215
3411,0.0052349599367939982
3410,0.0053096454375640379
3409,0.00538364068908573
3408,0.0054568907374316121
3407,0.0055293406370301749
3406,0.0056009355158297058
3405,0.0056716206410865931
3404,0.0057413414856742617
3403,0.0058100437948064958
3402,0.00587767365306713
3401,0.0059441775516363374
3400,0.0060095024556021445
3399,0.0060735958712446834
3398,0.0061364059131793344
3397,0.0061978813712444871
3396,0.0062579717770186692
3395,0.0063166274698515327
3394,0.0063737996622933194
3393,0.00642944050480711
3392,0.0064835031496489693
3391,0.0065359418138014429
3390,0.0065867118408469115
3389,0.0066357697616682976
3388,0.0066830733538662404
3387,0.0067285816997831888
3385,0.0068140558433891513
3384,0.0068539468300530442
3383,0.006891893052994813
3382,0.0069278609324764893
3596,1.1543175272816326E-08
3595,1.7253621955696857E-08
3594,2.4550744836939872E-08
3593,3.3672356360244052E-08
3592,4.4881422840692792E-08
3591,5.846805522588386E-08
3590,7.4751611876330809E-08
3589,9.4082916580171613E-08
3588,1.1684659489592924E-07
3587,1.4346353177744267E-07
3586,1.7439345327662711E-07
3585,2.10137634941833E-07
3584,2.5124173933203996E-07
3583,2.98298784849424E-07
3582,3.519522478548144E-07
3581,4.1289929977192304E-07
3580,4.8189418060686168E-07
3579,5.5975171000933131E-07
3578,6.4735093668086238E-07
3577,7.4563892659383963E-07
3576,8.5563469012282567E-07
3575,9.78433247807078E-07
3574,1.1152098340607022E-06
3573,1.2672242377246348E-06
3572,1.4358252779134587E-06
3571,1.6224554131502118E-06
3570,1.8286554813046186E-06
3569,2.056069567355232E-06
3568,2.3064499954846717E-06
3567,2.5816624414902722E-06
3566,2.88369116095102E-06
3565,3.2146443280365812E-06
3564,3.5767594792767844E-06
3563,3.972409056030921E-06
3562,4.4041060388072478E-06
3561,4.8745096659851632E-06
3560,5.3864312288868994E-06
3559,5.9428399345339225E-06
3558,6.5468688268066466E-06
3557,7.2018207561061431E-06
3556,7.9111743869949052E-06
3555,8.67859023267148E-06
3554,9.5079167045132313E-06
3553,1.040319616430331E-05
3552,1.1368670966144763E-05
3551,1.240878947445722E-05
3550,1.3528212043852205E-05
3549,1.4731816946093536E-05
3548,1.602470622877014E-05
3547,1.7412211489743726E-05
3546,1.8899899550882347E-05
3545,2.049357801405728E-05
3544,2.2199300681864483E-05
3543,2.4023372825036414E-05
3542,2.5972356278036588E-05
3541,2.8053074343879191E-05
3540,3.0272616488792542E-05
3539,3.2638342806948459E-05
3538,3.5157888235112831E-05
3537,3.7839166496737168E-05
3536,4.0690373754708645E-05
3535,4.37199919517089E-05
3534,4.69367918169019E-05
3533,5.0349835517480237E-05
3532,5.3968478933448675E-05
3531,5.7802373533917596E-05
3530,6.186146783311438E-05
3529,6.6156008404307369E-05
3528,7.06965404298673E-05
3527,7.549390776577614E-05
3526,8.0559252499026908E-05
3525,8.5904013976548159E-05
3524,9.1539927284531989E-05
3523,9.7479021157346985E-05
3522,0.00010373361529557883
3521,0.00011031631707316488
3520,0.00011724001761407354
3519,0.00012451788721952822
3518,0.00013216337012738908
3517,0.00014019017858598698
3600,5.8981220499817819E-10
3599,1.892286377535548E-09
3598,4.0456430180291077E-09
3597,7.2048641556189283E-09
