big_demand,prob_demand
915,0.00588608274711261
913,0.0064436343563955764
912,0.0067282606318602783
911,0.007016097892106817
910,0.0073065928461810382
909,0.0075991647992304573
908,0.0078932072151157683
907,0.0081880894502950729
906,0.0084831586554444376
905,0.0087777418402775666
904,0.0090711480959839042
903,0.00936267096861839
902,0.00965159097565336
901,0.009937178256748197
900,0.0102186953486153
899,0.010495400072669556
898,0.010766548522956543
897,0.011031398140674999
896,0.011289210860456429
895,0.011539256312457356
894,0.011780815063272262
893,0.012013181877709089
892,0.012235668982600059
891,0.012447609313068254
890,0.012648359721051678
889,0.012837304125419483
888,0.013013856582712573
887,0.013177464257419917
886,0.013327610270770571
885,0.013463816407291645
884,0.01358564565885878
883,0.013692704586652327
882,0.013784645482330405
881,0.013861168310834704
880,0.013922022418553462
879,0.013967007992066054
878,0.013995977254375807
877,0.014007173647884978
876,0.014000576791706172
974,1.9822953813968969E-06
973,4.40178483204223E-06
972,7.3207541044505688E-06
971,1.0807741753069933E-05
970,1.4937898125322591E-05
969,1.9793334764672368E-05
968,2.5463459874030471E-05
967,3.2045295190828591E-05
966,3.9643769358843513E-05
965,4.8371982653429535E-05
964,5.8351437732519026E-05
963,6.9712230952379819E-05
962,8.2593198710602769E-05
961,9.7142013264950186E-05
960,0.00011351522253034474
959,0.00013187822848162811
958,0.00015240519899025604
957,0.00017527890820050147
956,0.00020069050090669975
955,0.00022883917682664723
954,0.0002599317911763539
953,0.00029418236853480666
952,0.00033181152764003024
951,0.00037304581547339223
950,0.00041811694976163176
949,0.00046726096984650952
948,0.00052071729673116771
947,0.00057872770400073121
946,0.0006415352022201157
945,0.00070938284032431333
944,0.00078251242842238022
943,0.00086116318732564682
942,0.00094557033096965312
941,0.0010359635887182267
940,0.0011325656753056817
939,0.0012355907168790758
938,0.0013452426422388558
937,0.0014617135489352127
936,0.0015851820543527253
935,0.0017158116423038124
934,0.0018537490159479008
933,0.0019991224680580592
932,0.002152040279769174
931,0.0023125891589648772
930,0.002480832729395672
929,0.0026568100814741563
928,0.0028405343954697863
927,0.0030319916475309507
926,0.003231139408604475
925,0.0034379057459081714
924,0.0036521882361483984
923,0.0038738530991690233
922,0.0041027344601770252
921,0.0043386337481199928
920,0.0045813192371952
919,0.0048305257378557188
918,0.0050859544430465215
917,0.005347272934755727
916,0.00561411535530343
914,0.0061627435640107236
