StoreID,ProductID,InventoryDateTime,Units,ExpiryDateTime
5,1_1,2017-01-06 00:00:00,21,2017-01-06 07:00:00
5,2_1,2017-01-06 00:00:00,9,2017-01-07 07:00:00
5,3_1,2017-01-06 00:00:00,110,2017-01-10 07:00:00
5,4_1,2017-01-06 00:00:00,61,2017-01-10 07:00:00
5,5_1,2017-01-06 00:00:00,87,2017-01-11 07:00:00
5,7_1,2017-01-06 00:00:00,100,2017-01-11 07:00:00
5,10_1,2017-01-06 00:00:00,55,2017-01-08 07:00:00
5,13_1,2017-01-06 00:00:00,284,2044-05-23 07:00:00
5,14_1,2017-01-06 00:00:00,158,2044-05-23 07:00:00
5,15_1,2017-01-06 00:00:00,126,2017-01-08 07:00:00
5,17_1,2017-01-06 00:00:00,463,2017-01-10 07:00:00
5,18_1,2017-01-06 00:00:00,960,2044-05-23 07:00:00
5,19_1,2017-01-06 00:00:00,330,2044-05-23 07:00:00
5,20_1,2017-01-06 00:00:00,36,2044-05-22 07:00:00
