StoreID,ProductID,InventoryDateTime,Units,ExpiryDateTime
5,1_1,2017-01-08 00:00:00,50,2017-01-09 07:00:00
5,2_1,2017-01-08 00:00:00,85,2017-01-09 07:00:00
5,3_1,2017-01-08 00:00:00,39,2017-01-10 07:00:00
5,4_1,2017-01-08 00:00:00,6,2017-01-13 07:00:00
5,5_1,2017-01-08 00:00:00,36,2017-01-14 07:00:00
5,8_1,2017-01-08 00:00:00,33,2017-01-08 07:00:00
5,9_1,2017-01-08 00:00:00,20,2017-01-14 07:00:00
5,13_1,2017-01-08 00:00:00,75,2044-05-23 07:00:00
5,14_1,2017-01-08 00:00:00,44,2044-05-23 07:00:00
5,15_1,2017-01-08 00:00:00,57,2017-01-08 07:00:00
5,19_1,2017-01-08 00:00:00,132,2044-05-23 07:00:00
