StoreID,ProductID,InventoryDateTime,Units,ExpiryDateTime
1,1_1,2017-01-14 00:00:00,916,2017-01-15 07:00:00
1,2_1,2017-01-14 00:00:00,182,2017-01-15 07:00:00
1,3_1,2017-01-14 00:00:00,21,2017-01-18 07:00:00
1,5_1,2017-01-14 00:00:00,336,2017-01-20 07:00:00
1,7_1,2017-01-14 00:00:00,42,2017-01-20 07:00:00
1,9_1,2017-01-14 00:00:00,3,2017-01-20 07:00:00
1,10_1,2017-01-14 00:00:00,48,2017-01-16 07:00:00
1,12_1,2017-01-14 00:00:00,119,2017-01-20 07:00:00
1,13_1,2017-01-14 00:00:00,189,2044-05-31 07:00:00
1,14_1,2017-01-14 00:00:00,311,2044-05-31 07:00:00
1,15_1,2017-01-14 00:00:00,76,2017-01-16 07:00:00
1,16_1,2017-01-14 00:00:00,16,2044-05-31 07:00:00
1,17_1,2017-01-14 00:00:00,321,2017-01-18 07:00:00
1,18_1,2017-01-14 00:00:00,38,2044-05-31 07:00:00
1,19_1,2017-01-14 00:00:00,1517,2044-05-31 07:00:00
1,20_1,2017-01-14 00:00:00,65,2044-05-31 07:00:00
