StoreID,ProductID,InventoryDateTime,Units,ExpiryDateTime
4,1_1,2017-01-06 00:00:00,97,2017-01-06 07:00:00
4,2_1,2017-01-06 00:00:00,3,2017-01-06 07:00:00
4,3_1,2017-01-06 00:00:00,40,2017-01-09 07:00:00
4,4_1,2017-01-06 00:00:00,1499,2017-01-11 07:00:00
4,5_1,2017-01-06 00:00:00,89,2017-01-12 07:00:00
4,6_1,2017-01-06 00:00:00,643,2017-01-12 07:00:00
4,7_1,2017-01-06 00:00:00,155,2017-01-12 07:00:00
4,10_1,2017-01-06 00:00:00,94,2017-01-07 07:00:00
4,11_1,2017-01-06 00:00:00,34,2044-05-22 07:00:00
4,12_1,2017-01-06 00:00:00,127,2017-01-11 07:00:00
4,14_1,2017-01-06 00:00:00,30,2044-05-22 07:00:00
4,15_1,2017-01-06 00:00:00,424,2017-01-08 07:00:00
4,16_1,2017-01-06 00:00:00,83,2044-05-23 07:00:00
4,17_1,2017-01-06 00:00:00,33,2017-01-09 07:00:00
4,18_1,2017-01-06 00:00:00,477,2044-05-23 07:00:00
4,20_1,2017-01-06 00:00:00,1531,2044-05-23 07:00:00
