StoreID,ProductID,TransactionDateTime,Units,Price
5,19_1,2017-01-14 07:00:22,1,9.62
5,12_1,2017-01-14 07:00:24,1,4.2
5,4_1,2017-01-14 07:00:32,1,6.32
5,12_1,2017-01-14 07:00:32,1,4.2
5,10_1,2017-01-14 07:00:46,1,12.9
5,13_1,2017-01-14 07:00:56,1,15.81
5,12_1,2017-01-14 07:01:03,1,4.2
5,10_1,2017-01-14 07:01:05,1,12.9
5,12_1,2017-01-14 07:01:05,1,4.2
5,19_1,2017-01-14 07:01:16,1,9.62
5,10_1,2017-01-14 07:01:18,1,12.9
5,16_1,2017-01-14 07:02:10,1,5.58
5,4_1,2017-01-14 07:02:16,1,6.32
5,1_1,2017-01-14 07:02:26,1,6.95
5,12_1,2017-01-14 07:02:28,1,4.2
5,16_1,2017-01-14 07:02:31,1,5.58
5,18_1,2017-01-14 07:02:32,1,6.39
5,1_1,2017-01-14 07:02:35,1,6.95
5,12_1,2017-01-14 07:02:47,1,4.2
5,12_1,2017-01-14 07:03:00,1,4.2
5,18_1,2017-01-14 07:03:40,1,6.39
5,12_1,2017-01-14 07:04:08,1,4.2
5,12_1,2017-01-14 07:04:09,1,4.2
5,1_1,2017-01-14 07:04:18,1,6.95
5,17_1,2017-01-14 07:04:31,1,10.0
5,12_1,2017-01-14 07:04:48,1,4.2
5,19_1,2017-01-14 07:04:49,1,9.62
5,17_1,2017-01-14 07:04:53,1,10.0
5,9_1,2017-01-14 07:05:55,1,21.31
5,17_1,2017-01-14 07:06:24,1,10.0
5,3_1,2017-01-14 07:06:45,1,17.76
5,12_1,2017-01-14 07:06:48,1,4.2
5,18_1,2017-01-14 07:07:13,1,6.39
5,12_1,2017-01-14 07:07:14,1,4.2
5,16_1,2017-01-14 07:07:37,1,5.58
5,1_1,2017-01-14 07:07:40,1,6.95
5,17_1,2017-01-14 07:07:46,1,10.0
5,4_1,2017-01-14 07:08:05,1,6.32
5,19_1,2017-01-14 07:08:06,1,9.62
5,17_1,2017-01-14 07:08:09,1,10.0
5,12_1,2017-01-14 07:08:35,1,4.2
5,12_1,2017-01-14 07:08:53,1,4.2
5,16_1,2017-01-14 07:08:55,1,5.58
5,17_1,2017-01-14 07:09:23,1,10.0
5,10_1,2017-01-14 07:09:32,1,12.9
5,12_1,2017-01-14 07:10:15,1,4.2
5,16_1,2017-01-14 07:10:22,1,5.58
5,13_1,2017-01-14 07:10:41,1,15.81
5,18_1,2017-01-14 07:10:43,1,6.39
5,4_1,2017-01-14 07:10:54,1,6.32
5,17_1,2017-01-14 07:11:12,1,10.0
5,16_1,2017-01-14 07:11:24,1,5.58
5,10_1,2017-01-14 07:11:45,1,12.9
5,16_1,2017-01-14 07:11:48,1,5.58
5,12_1,2017-01-14 07:11:54,1,4.2
5,12_1,2017-01-14 07:12:09,1,4.2
5,13_1,2017-01-14 07:12:10,1,15.81
5,4_1,2017-01-14 07:12:15,1,6.32
5,12_1,2017-01-14 07:12:18,1,4.2
5,12_1,2017-01-14 07:12:22,1,4.2
5,16_1,2017-01-14 07:12:44,1,5.58
5,12_1,2017-01-14 07:12:46,1,4.2
5,13_1,2017-01-14 07:12:56,1,15.81
5,4_1,2017-01-14 07:13:02,1,6.32
5,19_1,2017-01-14 07:13:16,1,9.62
5,9_1,2017-01-14 07:13:28,1,21.31
5,4_1,2017-01-14 07:13:36,1,6.32
5,12_1,2017-01-14 07:13:50,1,4.2
5,12_1,2017-01-14 07:14:07,1,4.2
5,12_1,2017-01-14 07:14:09,1,4.2
5,15_1,2017-01-14 07:14:10,1,26.22
5,12_1,2017-01-14 07:14:16,1,4.2
5,16_1,2017-01-14 07:14:21,1,5.58
5,18_1,2017-01-14 07:14:22,1,6.39
5,12_1,2017-01-14 07:14:53,1,4.2
5,12_1,2017-01-14 07:15:10,1,4.2
5,16_1,2017-01-14 07:15:29,1,5.58
5,18_1,2017-01-14 07:15:30,1,6.39
5,12_1,2017-01-14 07:15:30,1,4.2
5,4_1,2017-01-14 07:15:34,1,6.32
5,12_1,2017-01-14 07:15:41,1,4.2
5,16_1,2017-01-14 07:15:42,1,5.58
5,12_1,2017-01-14 07:15:54,1,4.2
5,4_1,2017-01-14 07:15:55,1,6.32
5,1_1,2017-01-14 07:16:18,1,6.95
5,18_1,2017-01-14 07:16:26,1,6.39
5,12_1,2017-01-14 07:16:47,1,4.2
5,12_1,2017-01-14 07:16:47,1,4.2
