StoreID,ProductID,InventoryDateTime,Units,ExpiryDateTime
6,1_1,2017-01-08 00:00:00,23,2017-01-09 07:00:00
6,2_1,2017-01-08 00:00:00,32,2017-01-09 07:00:00
6,3_1,2017-01-08 00:00:00,27,2017-01-10 07:00:00
6,4_1,2017-01-08 00:00:00,48,2017-01-13 07:00:00
6,5_1,2017-01-08 00:00:00,30,2017-01-12 07:00:00
6,6_1,2017-01-08 00:00:00,163,2017-01-12 07:00:00
6,7_1,2017-01-08 00:00:00,1,2017-01-14 07:00:00
6,9_1,2017-01-08 00:00:00,26,2017-01-12 07:00:00
6,10_1,2017-01-08 00:00:00,50,2017-01-10 07:00:00
6,12_1,2017-01-08 00:00:00,47,2017-01-14 07:00:00
6,13_1,2017-01-08 00:00:00,130,2044-05-23 07:00:00
6,16_1,2017-01-08 00:00:00,13,2044-05-25 07:00:00
6,17_1,2017-01-08 00:00:00,49,2017-01-12 07:00:00
6,19_1,2017-01-08 00:00:00,46,2044-05-23 07:00:00
6,20_1,2017-01-08 00:00:00,6,2044-05-25 07:00:00
