big_demand,prob_lead_demand
122,1.9618548134971827E-05
121,5.2880934839835583E-05
120,0.00010573439825632182
119,0.00018585056315171858
118,0.00030285360869076192
117,0.00046848773554127439
116,0.0006966885277287395
115,0.0010035216178236629
114,0.0014069548655981632
113,0.0019264376770952336
112,0.0025822731508985978
111,0.0033947847292774961
110,0.0043832974939298028
109,0.0055649731307758953
108,0.0069535545811793059
107,0.0085580893507898863
106,0.010381707828010421
105,0.012420534188537247
104,0.014662803013623322
103,0.017088246008672047
102,0.019667802018618768
101,0.022363691606496167
100,0.025129885786736271
99,0.02791298699817539
98,0.030653527890022663
97,0.03328767812506795
96,0.035749329381748914
95,0.037972503176568105
94,0.039893995771488742
93,0.041456141963768456
92,0.042609549397800567
91,0.04330212559351572
