InventoryPolicyName,StoreID,ProductID,SupplierID,Quantity,OrderTimestamp,ETA,ConfidenceInterval,Fulfilled
s_Q,4,11_1,3,217,2017-01-14T00:00:00.0000000,2017-01-16T00:00:00.0000000,1,False
s_Q,4,12_1,3,960,2017-01-14T00:00:00.0000000,2017-01-16T00:00:00.0000000,0,False
s_Q,4,13_1,4,242,2017-01-14T00:00:00.0000000,2017-01-15T00:00:00.0000000,1,False
s_Q,4,14_1,4,399,2017-01-14T00:00:00.0000000,2017-01-16T00:00:00.0000000,0,False
s_Q,4,15_1,4,205,2017-01-14T00:00:00.0000000,2017-01-17T00:00:00.0000000,1,False
s_Q,4,16_1,4,37,2017-01-14T00:00:00.0000000,2017-01-17T00:00:00.0000000,0,False
s_Q,4,17_1,5,957,2017-01-14T00:00:00.0000000,2017-01-16T00:00:00.0000000,1,False
s_Q,4,18_1,5,155,2017-01-14T00:00:00.0000000,2017-01-17T00:00:00.0000000,1,False
s_Q,4,19_1,5,74,2017-01-14T00:00:00.0000000,2017-01-15T00:00:00.0000000,0,False
s_Q,4,20_1,5,889,2017-01-14T00:00:00.0000000,2017-01-17T00:00:00.0000000,1,False
s_Q,4,11_1,3,82,2017-01-11T00:00:00.0000000,2017-01-13T00:00:00.0000000,1,True
s_Q,4,12_1,3,411,2017-01-11T00:00:00.0000000,2017-01-13T00:00:00.0000000,0,True
s_Q,4,14_1,4,155,2017-01-11T00:00:00.0000000,2017-01-13T00:00:00.0000000,0,True
s_Q,4,17_1,5,764,2017-01-11T00:00:00.0000000,2017-01-13T00:00:00.0000000,1,True
s_Q,4,13_1,4,242,2017-01-10T00:00:00.0000000,2017-01-11T00:00:00.0000000,1,True
s_Q,4,15_1,4,573,2017-01-10T00:00:00.0000000,2017-01-13T00:00:00.0000000,1,True
s_Q,4,16_1,4,114,2017-01-10T00:00:00.0000000,2017-01-13T00:00:00.0000000,0,True
s_Q,4,18_1,5,840,2017-01-10T00:00:00.0000000,2017-01-13T00:00:00.0000000,1,True
s_Q,4,19_1,5,74,2017-01-10T00:00:00.0000000,2017-01-11T00:00:00.0000000,0,True
s_Q,4,20_1,5,2034,2017-01-10T00:00:00.0000000,2017-01-13T00:00:00.0000000,1,True
s_Q,4,11_1,3,217,2017-01-08T00:00:00.0000000,2017-01-10T00:00:00.0000000,1,True
s_Q,4,12_1,3,960,2017-01-08T00:00:00.0000000,2017-01-10T00:00:00.0000000,0,True
s_Q,4,13_1,4,159,2017-01-08T00:00:00.0000000,2017-01-09T00:00:00.0000000,1,True
s_Q,4,14_1,4,423,2017-01-08T00:00:00.0000000,2017-01-10T00:00:00.0000000,0,True
s_Q,4,17_1,5,818,2017-01-08T00:00:00.0000000,2017-01-10T00:00:00.0000000,1,True
s_Q,4,19_1,5,51,2017-01-08T00:00:00.0000000,2017-01-09T00:00:00.0000000,0,True
s_Q,4,13_1,4,222,2017-01-06T00:00:00.0000000,2017-01-07T00:00:00.0000000,1,True
s_Q,4,15_1,4,156,2017-01-06T00:00:00.0000000,2017-01-09T00:00:00.0000000,1,True
s_Q,4,16_1,4,32,2017-01-06T00:00:00.0000000,2017-01-09T00:00:00.0000000,0,True
s_Q,4,18_1,5,300,2017-01-06T00:00:00.0000000,2017-01-09T00:00:00.0000000,1,True
s_Q,4,19_1,5,76,2017-01-06T00:00:00.0000000,2017-01-07T00:00:00.0000000,0,True
s_Q,4,20_1,5,573,2017-01-06T00:00:00.0000000,2017-01-09T00:00:00.0000000,1,True
s_Q,4,11_1,3,79,2017-01-05T00:00:00.0000000,2017-01-07T00:00:00.0000000,1,True
s_Q,4,12_1,3,410,2017-01-05T00:00:00.0000000,2017-01-07T00:00:00.0000000,0,True
s_Q,4,14_1,4,185,2017-01-05T00:00:00.0000000,2017-01-07T00:00:00.0000000,0,True
s_Q,4,17_1,5,626,2017-01-05T00:00:00.0000000,2017-01-07T00:00:00.0000000,1,True
s_Q,4,11_1,3,217,2017-01-02T00:00:00.0000000,2017-01-04T00:00:00.0000000,1,True
s_Q,4,12_1,3,960,2017-01-02T00:00:00.0000000,2017-01-04T00:00:00.0000000,0,True
s_Q,4,13_1,4,222,2017-01-02T00:00:00.0000000,2017-01-03T00:00:00.0000000,1,True
s_Q,4,14_1,4,423,2017-01-02T00:00:00.0000000,2017-01-04T00:00:00.0000000,0,True
s_Q,4,15_1,4,580,2017-01-02T00:00:00.0000000,2017-01-05T00:00:00.0000000,1,True
s_Q,4,16_1,4,115,2017-01-02T00:00:00.0000000,2017-01-05T00:00:00.0000000,0,True
s_Q,4,17_1,5,1070,2017-01-02T00:00:00.0000000,2017-01-04T00:00:00.0000000,1,True
s_Q,4,18_1,5,777,2017-01-02T00:00:00.0000000,2017-01-05T00:00:00.0000000,1,True
s_Q,4,19_1,5,76,2017-01-02T00:00:00.0000000,2017-01-03T00:00:00.0000000,0,True
s_Q,4,20_1,5,2104,2017-01-02T00:00:00.0000000,2017-01-05T00:00:00.0000000,1,True
s_Q,4,13_1,4,167,2017-01-04T00:00:00.0000000,2017-01-05T00:00:00.0000000,1,True
s_Q,4,19_1,5,50,2017-01-04T00:00:00.0000000,2017-01-05T00:00:00.0000000,0,True
s_Q,4,13_1,4,139,2017-01-12T00:00:00.0000000,2017-01-13T00:00:00.0000000,1,True
s_Q,4,19_1,5,30,2017-01-12T00:00:00.0000000,2017-01-13T00:00:00.0000000,0,True
