s_Q,prob_lead_lifetime
2242,2.8235958399076945E-28
2243,3.2793509582395714E-27
2244,2.0930571110564183E-26
2245,9.7077172459873448E-26
2246,3.6552961486058615E-25
2247,1.1848115240674997E-24
2248,3.4261401128860746E-24
2249,9.0508781688065043E-24
2250,2.2210678243259226E-23
2251,5.1257006486668942E-23
2252,1.1228411255358261E-22
2253,2.3518952842323864E-22
2254,4.7377284534167861E-22
2255,9.221813497495437E-22
2256,1.741151878232277E-21
2257,3.1991297407968659E-21
2258,5.7356526587621E-21
2259,1.0057616596634331E-20
2260,1.7283516661129874E-20
2261,2.9156907332380137E-20
2262,4.8358709861950869E-20
2263,7.8959333958005889E-20
2264,1.2706680850351908E-19
2265,2.0174742817896955E-19
2266,3.1632234581115197E-19
2267,4.9017901218633E-19
2268,7.5128283558615182E-19
2269,1.1396349847932211E-18
2270,1.7120007537790831E-18
2271,2.5483341628102259E-18
2272,3.7604544789884718E-18
2273,5.5036965157966088E-18
2274,7.9924680657583156E-18
2275,1.1520915881016595E-17
2276,1.6490240024299767E-17
2277,2.3444621995406997E-17
2278,3.3118265279384168E-17
2279,4.6496712717403358E-17
2280,6.4896433439850577E-17
2281,9.00676992949572E-17
2282,1.2432704038349036E-16
2283,1.707271338012124E-16
2284,2.3327390159549705E-16
2285,3.172029479463634E-16
2286,4.2933034056103088E-16
2287,5.7849624272057174E-16
2288,7.7612415525232862E-16
2289,1.0369236794750143E-15
2290,1.3797709367559582E-15
2291,1.828808282165477E-15
2292,2.4148139686212565E-15
2293,3.1769032345663784E-15
2294,4.1646352304174777E-15
2295,5.4406156487605248E-15
2296,7.0837033247979432E-15
2297,9.1929509423953843E-15
2298,1.1892435914289379E-14
2299,1.5337168192661271E-14
2300,1.9720298004346756E-14
2301,2.5281889209808433E-14
2302,3.2319574209592456E-14
2303,4.1201465273868391E-14
2304,5.2381766232084744E-14
2305,6.6419609210086076E-14
2306,8.4001735342403276E-14
2307,1.0596974816829587E-13
2308,1.3335279607154767E-13
2309,1.6740668828905099E-13
2310,2.0966062068473995E-13
2311,2.6197288604649346E-13
2312,3.2659717293174386E-13
2313,4.0626132136309706E-13
2314,5.0426070779436945E-13
2315,6.2456878115952019E-13
2316,7.7196767256719817E-13
2317,9.5220226012101363E-13
2318,1.1721615950363457E-12
2319,1.4400921941711042E-12
2320,1.7658483867350668E-12
2321,2.1611856797888357E-12
2322,2.6401039898401476E-12
2323,3.2192485893016475E-12
2324,3.9183777510702627E-12
2325,4.7609073577950628E-12
2326,5.7745441919073263E-12
2327,6.9920212573364509E-12
2328,8.4519503250681256E-12
2329,1.0199808965402621E-11
2330,1.2289081655234153E-11
