PolicyName,StoreID,ProductID,SupplierID,Quantity,OrderTimestamp,ETA,ConfidenceInterval,Fulfilled
Sim,2,13_1,4.0,36,2017-01-01 07:00:00,2017-01-04 07:00:00,0,False
Sim,2,19_1,5.0,460,2017-01-01 07:00:00,2017-01-04 07:00:00,0,False
Sim,2,16_1,4.0,299,2017-01-01 07:00:00,2017-01-04 07:00:00,1,False
Sim,2,12_1,3.0,985,2017-01-01 07:00:00,2017-01-03 07:00:00,0,False
Sim,2,5_1,2.0,80,2017-01-01 07:00:00,2017-01-02 07:00:00,1,False
Sim,2,11_1,3.0,36,2017-01-01 07:00:00,2017-01-03 07:00:00,0,False
Sim,2,1_1,1.0,39,2017-01-01 07:00:00,2017-01-02 07:00:00,1,False
Sim,2,15_1,4.0,102,2017-01-01 07:00:00,2017-01-02 07:00:00,0,False
Sim,2,7_1,2.0,20,2017-01-01 07:00:00,2017-01-02 07:00:00,0,False
Sim,2,2_1,1.0,432,2017-01-01 07:00:00,2017-01-03 07:00:00,1,False
Sim,2,6_1,2,26,2017-01-03 07:00:00,2017-01-05 07:00:00,1,False
Sim,2,14_1,4,38,2017-01-03 07:00:00,2017-01-06 07:00:00,0,False
Sim,2,7_1,2,30,2017-01-03 07:00:00,2017-01-04 07:00:00,0,False
Sim,2,8_1,2,55,2017-01-03 07:00:00,2017-01-05 07:00:00,1,False
Sim,2,3_1,1,110,2017-01-03 07:00:00,2017-01-04 07:00:00,1,False
Sim,2,10_1,3,16,2017-01-03 07:00:00,2017-01-06 07:00:00,0,False
Sim,2,17_1,5,30,2017-01-03 07:00:00,2017-01-04 07:00:00,0,False
Sim,2,18_1,5,732,2017-01-03 07:00:00,2017-01-06 07:00:00,1,False
Sim,2,9_1,3,20,2017-01-03 07:00:00,2017-01-04 07:00:00,1,False
Sim,2,11_1,3,36,2017-01-03 07:00:00,2017-01-05 07:00:00,0,False
Sim,2,7_1,2,20,2017-01-05 07:00:00,2017-01-06 07:00:00,0,False
Sim,2,11_1,3,54,2017-01-05 07:00:00,2017-01-07 07:00:00,0,False
Sim,2,2_1,1,378,2017-01-06 07:00:00,2017-01-08 07:00:00,1,False
Sim,2,1_1,1,26,2017-01-06 07:00:00,2017-01-07 07:00:00,1,False
Sim,2,16_1,4,325,2017-01-06 07:00:00,2017-01-09 07:00:00,1,False
Sim,2,17_1,5,25,2017-01-06 07:00:00,2017-01-07 07:00:00,0,False
Sim,2,14_1,4,38,2017-01-06 07:00:00,2017-01-09 07:00:00,0,False
Sim,2,15_1,4,136,2017-01-06 07:00:00,2017-01-07 07:00:00,0,False
Sim,2,18_1,5,516,2017-01-06 07:00:00,2017-01-09 07:00:00,1,False
Sim,2,4_1,1,65,2017-01-06 07:00:00,2017-01-07 07:00:00,1,False
Sim,2,7_1,2,20,2017-01-07 07:00:00,2017-01-08 07:00:00,0,False
Sim,2,11_1,3,36,2017-01-07 07:00:00,2017-01-09 07:00:00,0,False
Sim,2,6_1,2,78,2017-01-07 07:00:00,2017-01-09 07:00:00,1,False
Sim,2,20_1,5,18,2017-01-07 07:00:00,2017-01-09 07:00:00,0,False
Sim,2,5_1,2,64,2017-01-08 07:00:00,2017-01-09 07:00:00,1,False
Sim,2,19_1,5,260,2017-01-08 07:00:00,2017-01-11 07:00:00,0,False
Sim,2,13_1,4,36,2017-01-08 07:00:00,2017-01-11 07:00:00,0,False
Sim,2,10_1,3,48,2017-01-09 07:00:00,2017-01-12 07:00:00,0,False
Sim,2,17_1,5,20,2017-01-09 07:00:00,2017-01-10 07:00:00,0,False
Sim,2,9_1,3,20,2017-01-09 07:00:00,2017-01-10 07:00:00,1,False
Sim,2,11_1,3,54,2017-01-09 07:00:00,2017-01-11 07:00:00,0,False
Sim,2,8_1,2,40,2017-01-09 07:00:00,2017-01-11 07:00:00,1,False
Sim,2,7_1,2,30,2017-01-09 07:00:00,2017-01-10 07:00:00,0,False
Sim,2,3_1,1,143,2017-01-09 07:00:00,2017-01-10 07:00:00,1,False
Sim,2,18_1,5,372,2017-01-09 07:00:00,2017-01-12 07:00:00,1,False
Sim,2,12_1,3,680,2017-01-11 07:00:00,2017-01-13 07:00:00,0,False
Sim,2,2_1,1,486,2017-01-11 07:00:00,2017-01-13 07:00:00,1,False
Sim,2,16_1,4,299,2017-01-11 07:00:00,2017-01-14 07:00:00,1,False
Sim,2,7_1,2,30,2017-01-11 07:00:00,2017-01-12 07:00:00,0,False
Sim,2,15_1,4,170,2017-01-11 07:00:00,2017-01-12 07:00:00,0,False
Sim,2,11_1,3,54,2017-01-11 07:00:00,2017-01-13 07:00:00,0,False
Sim,2,6_1,2,52,2017-01-11 07:00:00,2017-01-13 07:00:00,1,False
Sim,2,1_1,1,26,2017-01-11 07:00:00,2017-01-12 07:00:00,1,False
Sim,2,18_1,5,504,2017-01-12 07:00:00,2017-01-15 07:00:00,1,False
Sim,2,17_1,5,30,2017-01-12 07:00:00,2017-01-13 07:00:00,0,False
Sim,2,11_1,3,72,2017-01-13 07:00:00,2017-01-15 07:00:00,0,False
Sim,2,7_1,2,40,2017-01-13 07:00:00,2017-01-14 07:00:00,0,False
