StoreID,ProductID,InventoryDateTime,Units,ExpiryDateTime
3,3_1,2017-01-08 00:00:00,64,2017-01-10 07:00:00
3,5_1,2017-01-08 00:00:00,57,2017-01-12 07:00:00
3,7_1,2017-01-08 00:00:00,41,2017-01-14 07:00:00
3,8_1,2017-01-08 00:00:00,4,2017-01-08 07:00:00
3,9_1,2017-01-08 00:00:00,30,2017-01-12 07:00:00
3,10_1,2017-01-08 00:00:00,35,2017-01-10 07:00:00
3,11_1,2017-01-08 00:00:00,47,2044-05-25 07:00:00
3,12_1,2017-01-08 00:00:00,12,2017-01-14 07:00:00
3,13_1,2017-01-08 00:00:00,7,2044-05-23 07:00:00
3,14_1,2017-01-08 00:00:00,22,2044-05-25 07:00:00
3,16_1,2017-01-08 00:00:00,229,2044-05-25 07:00:00
3,17_1,2017-01-08 00:00:00,18,2017-01-12 07:00:00
3,18_1,2017-01-08 00:00:00,17,2044-05-25 07:00:00
3,19_1,2017-01-08 00:00:00,3,2044-05-25 07:00:00
3,20_1,2017-01-08 00:00:00,116,2044-05-25 07:00:00
