StoreID,ProductID,InventoryDateTime,Units,ExpiryDateTime
5,1_1,2017-01-14 00:00:00,45,2017-01-15 07:00:00
5,3_1,2017-01-14 00:00:00,107,2017-01-18 07:00:00
5,4_1,2017-01-14 00:00:00,18,2017-01-19 07:00:00
5,9_1,2017-01-14 00:00:00,9,2017-01-20 07:00:00
5,10_1,2017-01-14 00:00:00,69,2017-01-16 07:00:00
5,11_1,2017-01-14 00:00:00,12,2044-05-31 07:00:00
5,12_1,2017-01-14 00:00:00,564,2017-01-20 07:00:00
5,13_1,2017-01-14 00:00:00,210,2044-05-31 07:00:00
5,14_1,2017-01-14 00:00:00,165,2044-05-31 07:00:00
5,15_1,2017-01-14 00:00:00,131,2017-01-16 07:00:00
5,16_1,2017-01-14 00:00:00,100,2044-05-31 07:00:00
5,17_1,2017-01-14 00:00:00,484,2017-01-18 07:00:00
5,18_1,2017-01-14 00:00:00,857,2044-05-31 07:00:00
5,19_1,2017-01-14 00:00:00,264,2044-05-31 07:00:00
