StoreID,ProductID,InventoryDateTime,Units,ExpiryDateTime
2,1_1,2017-01-06 00:00:00,2,2017-01-07 07:00:00
2,2_1,2017-01-06 00:00:00,26,2017-01-06 07:00:00
2,4_1,2017-01-06 00:00:00,8,2017-01-11 07:00:00
2,6_1,2017-01-06 00:00:00,10,2017-01-11 07:00:00
2,9_1,2017-01-06 00:00:00,11,2017-01-12 07:00:00
2,10_1,2017-01-06 00:00:00,119,2017-01-08 07:00:00
2,11_1,2017-01-06 00:00:00,57,2044-05-22 07:00:00
2,12_1,2017-01-06 00:00:00,613,2017-01-11 07:00:00
2,13_1,2017-01-06 00:00:00,131,2044-05-23 07:00:00
2,14_1,2017-01-06 00:00:00,85,2044-05-23 07:00:00
2,16_1,2017-01-06 00:00:00,648,2044-05-23 07:00:00
2,17_1,2017-01-06 00:00:00,11,2017-01-10 07:00:00
2,18_1,2017-01-06 00:00:00,1302,2044-05-23 07:00:00
2,19_1,2017-01-06 00:00:00,682,2044-05-23 07:00:00
2,20_1,2017-01-06 00:00:00,45,2044-05-22 07:00:00
