StoreID,ProductID,TransactionDateTime,Units,Price
2,12_1,2017-01-10 07:00:09,1,4.88
2,12_1,2017-01-10 07:00:22,1,4.88
2,12_1,2017-01-10 07:00:32,1,4.88
2,12_1,2017-01-10 07:00:39,1,4.88
2,2_1,2017-01-10 07:00:47,1,6.4
2,2_1,2017-01-10 07:01:02,1,6.4
2,18_1,2017-01-10 07:01:18,1,5.94
2,18_1,2017-01-10 07:01:41,1,5.94
2,2_1,2017-01-10 07:01:43,1,6.4
2,16_1,2017-01-10 07:01:59,1,5.65
2,12_1,2017-01-10 07:02:13,1,4.88
2,18_1,2017-01-10 07:02:24,1,5.94
2,19_1,2017-01-10 07:02:38,1,5.8
2,19_1,2017-01-10 07:02:41,1,5.8
2,18_1,2017-01-10 07:02:41,1,5.94
2,12_1,2017-01-10 07:02:52,1,4.88
2,5_1,2017-01-10 07:02:55,1,17.91
2,11_1,2017-01-10 07:03:22,1,18.05
2,2_1,2017-01-10 07:03:38,1,6.4
2,2_1,2017-01-10 07:03:41,1,6.4
2,12_1,2017-01-10 07:03:48,1,4.88
2,12_1,2017-01-10 07:03:57,1,4.88
2,18_1,2017-01-10 07:04:22,1,5.94
2,12_1,2017-01-10 07:04:47,1,4.88
2,12_1,2017-01-10 07:04:56,1,4.88
2,18_1,2017-01-10 07:04:58,1,5.94
2,16_1,2017-01-10 07:05:45,1,5.65
2,12_1,2017-01-10 07:05:47,1,4.88
2,2_1,2017-01-10 07:05:49,1,6.4
2,19_1,2017-01-10 07:05:57,1,5.8
2,19_1,2017-01-10 07:06:25,1,5.8
2,18_1,2017-01-10 07:06:33,1,5.94
2,12_1,2017-01-10 07:06:41,1,4.88
2,12_1,2017-01-10 07:06:48,1,4.88
2,16_1,2017-01-10 07:07:02,1,5.65
2,12_1,2017-01-10 07:07:14,1,4.88
2,12_1,2017-01-10 07:07:39,1,4.88
2,12_1,2017-01-10 07:07:59,1,4.88
2,12_1,2017-01-10 07:08:12,1,4.88
2,12_1,2017-01-10 07:08:37,1,4.88
2,18_1,2017-01-10 07:08:44,1,5.94
2,18_1,2017-01-10 07:09:22,1,5.94
2,12_1,2017-01-10 07:09:43,1,4.88
2,8_1,2017-01-10 07:10:24,1,19.3
2,12_1,2017-01-10 07:10:53,1,4.88
2,12_1,2017-01-10 07:11:06,1,4.88
2,12_1,2017-01-10 07:11:28,1,4.88
2,16_1,2017-01-10 07:11:29,1,5.65
2,12_1,2017-01-10 07:11:39,1,4.88
2,2_1,2017-01-10 07:11:49,1,6.4
