StoreID,ProductID,InventoryDateTime,Units,ExpiryDateTime
4,1_1,2017-01-14 00:00:00,36,2017-01-15 07:00:00
4,3_1,2017-01-14 00:00:00,97,2017-01-18 07:00:00
4,4_1,2017-01-14 00:00:00,1499,2017-01-19 07:00:00
4,5_1,2017-01-14 00:00:00,118,2017-01-20 07:00:00
4,6_1,2017-01-14 00:00:00,630,2017-01-20 07:00:00
4,8_1,2017-01-14 00:00:00,3,2017-01-14 07:00:00
4,9_1,2017-01-14 00:00:00,37,2017-01-20 07:00:00
4,14_1,2017-01-14 00:00:00,23,2044-05-31 07:00:00
4,15_1,2017-01-14 00:00:00,368,2017-01-16 07:00:00
4,16_1,2017-01-14 00:00:00,78,2044-05-31 07:00:00
4,17_1,2017-01-14 00:00:00,164,2017-01-18 07:00:00
4,18_1,2017-01-14 00:00:00,685,2044-05-31 07:00:00
4,20_1,2017-01-14 00:00:00,1145,2044-05-31 07:00:00
